"","FTHGf1","FTHGf2","FTHGf3","FTHGf4","FTHGf5","FTHGf6","FTHGf7","FTHGf8","FTHGa1","FTHGa2","FTHGa3","FTHGa4","FTHGa5","FTHGa6","FTHGa7","FTHGa8","FTAGf1","FTAGf2","FTAGf3","FTAGf4","FTAGf5","FTAGf6","FTAGf7","FTAGf8","FTAGa1","FTAGa2","FTAGa3","FTAGa4","FTAGa5","FTAGa6","FTAGa7","FTAGa8","HSf1","HSf2","HSf3","HSf4","HSf5","HSf6","HSf7","HSf8","HSa1","HSa2","HSa3","HSa4","HSa5","HSa6","HSa7","HSa8","ASf1","ASf2","ASf3","ASf4","ASf5","ASf6","ASf7","ASf8","ASa1","ASa2","ASa3","ASa4","ASa5","ASa6","ASa7","ASa8","HSTf1","HSTf2","HSTf3","HSTf4","HSTf5","HSTf6","HSTf7","HSTf8","HSTa1","HSTa2","HSTa3","HSTa4","HSTa5","HSTa6","HSTa7","HSTa8","ASTf1","ASTf2","ASTf3","ASTf4","ASTf5","ASTf6","ASTf7","ASTf8","ASTa1","ASTa2","ASTa3","ASTa4","ASTa5","ASTa6","ASTa7","ASTa8","HCf1","HCf2","HCf3","HCf4","HCf5","HCf6","HCf7","HCf8","HCa1","HCa2","HCa3","HCa4","HCa5","HCa6","HCa7","HCa8","ACf1","ACf2","ACf3","ACf4","ACf5","ACf6","ACf7","ACf8","ACa1","ACa2","ACa3","ACa4","ACa5","ACa6","ACa7","ACa8","Y"
"1",1,1.8,1.96,1.192,1.0384,1.00768,2.601536,2.1203072,0,0.8,2.56,2.912,1.3824,1.07648,1.015296,1.0030592,1,1.8,1.96,1.192,1.0384,1.00768,2.601536,2.1203072,0,0.8,2.56,2.912,1.3824,1.07648,1.015296,1.0030592,12,12,12.8,17.76,11.552,7.9104,12.78208,16.956416,13,9,13.8,9.16,7.432,9.4864,11.49728,12.699456,12,12,12.8,17.76,11.552,7.9104,12.78208,16.956416,13,9,13.8,9.16,7.432,9.4864,11.49728,12.699456,4,4.8,4.96,6.592,2.9184,2.18368,3.636736,5.5273472,5,2.6,6.12,4.424,3.2848,3.05696,6.211392,4.4422784,4,4.8,4.96,6.592,2.9184,2.18368,3.636736,5.5273472,5,2.6,6.12,4.424,3.2848,3.05696,6.211392,4.4422784,4,7.2,7.04,13.408,6.6816,4.53632,5.707264,6.7414528,7,7,3.8,1.56,5.112,2.6224,3.72448,3.944896,5,7.4,7.08,7.816,9.5632,10.71264,7.742528,8.7485056,3,1.4,4.28,3.256,1.4512,3.49024,6.298048,3.6596096,7
"2",3,2.2,2.04,1.208,0.2416,3.24832,1.449664,1.0899328,0,0.8,0.16,1.632,1.1264,0.22528,2.445056,2.0890112,3,2.2,2.04,1.208,0.2416,3.24832,1.449664,1.0899328,0,0.8,0.16,1.632,1.1264,0.22528,2.445056,2.0890112,9,11.4,11.88,7.976,9.5952,10.71904,11.743808,15.9487616,10,12.4,14.48,13.296,16.2592,16.05184,14.410368,13.2820736,9,11.4,11.88,7.976,9.5952,10.71904,11.743808,15.9487616,10,12.4,14.48,13.296,16.2592,16.05184,14.410368,13.2820736,6,3.6,3.92,3.184,3.0368,5.40736,6.681472,3.7362944,3,4.6,1.72,3.544,4.7088,4.94176,4.188352,6.4376704,6,3.6,3.92,3.184,3.0368,5.40736,6.681472,3.7362944,3,4.6,1.72,3.544,4.7088,4.94176,4.188352,6.4376704,2,2.8,6.16,6.832,4.5664,5.71328,4.342656,5.6685312,4,5.6,5.12,4.224,4.0448,8.00896,6.401792,2.8803584,7,5.4,9.88,3.576,3.9152,5.58304,13.116608,5.8233216,3,4.6,2.52,6.104,9.2208,4.24416,1.648832,5.9297664,13
"3",1,2.6,1.32,1.064,1.0128,1.80256,1.960512,1.1921024,2,2,2,2,0.4,0.88,0.976,2.5952,1,2.6,1.32,1.064,1.0128,1.80256,1.960512,1.1921024,2,2,2,2,0.4,0.88,0.976,2.5952,13,13,14.6,9.32,15.464,18.2928,7.65856,8.731712,21,13.8,13.16,8.232,9.6464,16.32928,16.865856,16.9731712,13,13,14.6,9.32,15.464,18.2928,7.65856,8.731712,21,13.8,13.16,8.232,9.6464,16.32928,16.865856,16.9731712,3,3.8,4.76,1.752,4.3504,4.87008,3.374016,3.0748032,6,5.2,5.04,5.808,3.5616,7.11232,4.622464,6.5244928,3,3.8,4.76,1.752,4.3504,4.87008,3.374016,3.0748032,6,5.2,5.04,5.808,3.5616,7.11232,4.622464,6.5244928,0,4,3.2,6.24,4.448,5.6896,2.73792,2.947584,11,5.4,5.08,2.616,3.7232,6.34464,4.468928,5.6937856,4,6.4,6.88,4.576,8.1152,7.22304,7.044608,6.2089216,2,6.8,4.56,1.712,2.7424,2.14848,6.029696,5.2059392,13
"4",0,0,0.8,3.36,0.672,1.7344,1.94688,1.989376,3,1.4,0.28,0.856,1.7712,1.95424,1.190848,1.0381696,0,0,0.8,3.36,0.672,1.7344,1.94688,1.989376,3,1.4,0.28,0.856,1.7712,1.95424,1.190848,1.0381696,7,7,5.4,12.28,9.656,9.1312,10.62624,12.525248,15,11,17.4,13.08,12.216,12.0432,14.40864,16.481728,7,7,5.4,12.28,9.656,9.1312,10.62624,12.525248,15,11,17.4,13.08,12.216,12.0432,14.40864,16.481728,1,1.8,1.96,6.792,2.1584,2.83168,3.766336,6.3532672,8,4.8,4.96,2.592,5.3184,4.26368,4.852736,3.3705472,1,1.8,1.96,6.792,2.1584,2.83168,3.766336,6.3532672,8,4.8,4.96,2.592,5.3184,4.26368,4.852736,3.3705472,3,3,3.8,4.76,4.952,5.7904,1.95808,1.991616,5,3.4,6.28,2.856,2.9712,4.59424,12.918848,7.3837696,4,4,7.2,2.24,1.248,5.0496,6.60992,5.321984,2,4.4,8.08,8.816,9.7632,9.95264,6.790528,6.1581056,14
"5",2,1.2,1.84,1.168,0.2336,0.04672,4.809344,1.7618688,3,1.4,1.88,1.976,5.9952,4.39904,3.279808,1.4559616,2,1.2,1.84,1.168,0.2336,0.04672,4.809344,1.7618688,3,1.4,1.88,1.976,5.9952,4.39904,3.279808,1.4559616,12,23.2,13.44,15.488,8.6976,14.53952,15.707904,12.7415808,27,14.2,20.44,12.888,21.7776,13.15552,12.231104,10.4462208,12,23.2,13.44,15.488,8.6976,14.53952,15.707904,12.7415808,27,14.2,20.44,12.888,21.7776,13.15552,12.231104,10.4462208,6,7.6,6.32,5.264,2.6528,4.53056,8.906112,5.7812224,6,2.8,6.96,5.392,10.6784,6.93568,6.187136,5.2374272,6,7.6,6.32,5.264,2.6528,4.53056,8.906112,5.7812224,6,2.8,6.96,5.392,10.6784,6.93568,6.187136,5.2374272,6,5.2,2.64,2.128,3.6256,7.92512,7.985024,6.3970048,9,4.2,9.64,7.528,7.9056,6.38112,4.476224,4.8952448,11,4.6,3.32,2.264,4.4528,4.09056,5.618112,5.1236224,0,3.2,6.24,5.248,5.8496,9.96992,7.593984,5.5187968,6
"6",2,2,0.4,1.68,0.336,0.8672,0.97344,0.994688,3,1.4,1.88,1.176,0.2352,0.84704,1.769408,1.1538816,2,2,0.4,1.68,0.336,0.8672,0.97344,0.994688,3,1.4,1.88,1.176,0.2352,0.84704,1.769408,1.1538816,14,10.8,14.16,11.632,7.9264,9.58528,15.517056,11.1034112,14,7.6,11.12,9.424,9.8848,7.57696,5.515392,10.7030784,14,10.8,14.16,11.632,7.9264,9.58528,15.517056,11.1034112,14,7.6,11.12,9.424,9.8848,7.57696,5.515392,10.7030784,6,4.4,1.68,2.736,2.1472,2.82944,3.765888,4.7531776,7,3,3.8,2.36,2.872,2.1744,2.83488,4.566976,6,4.4,1.68,2.736,2.1472,2.82944,3.765888,4.7531776,7,3,3.8,2.36,2.872,2.1744,2.83488,4.566976,6,5.2,5.04,1.008,1.8016,1.96032,3.592064,4.7184128,6,5.2,6.64,5.328,3.4656,3.89312,2.378624,5.2757248,5,3.4,4.68,1.736,2.7472,0.54944,4.109888,3.2219776,7,5.4,3.48,12.696,6.5392,4.50784,4.901568,8.1803136,8
"7",2,2,2.8,4.56,3.312,2.2624,2.85248,0.570496,1,0.2,0.84,0.168,0.8336,0.16672,0.833344,1.7666688,2,2,2.8,4.56,3.312,2.2624,2.85248,0.570496,1,0.2,0.84,0.168,0.8336,0.16672,0.833344,1.7666688,20,14.4,11.68,19.136,22.2272,20.44544,16.889088,14.5778176,16,10.4,10.88,9.376,8.2752,6.45504,10.091008,14.0182016,20,14.4,11.68,19.136,22.2272,20.44544,16.889088,14.5778176,16,10.4,10.88,9.376,8.2752,6.45504,10.091008,14.0182016,5,3.4,5.48,9.896,10.7792,10.15584,9.231168,6.6462336,5,2.6,2.12,2.824,1.3648,1.07296,4.214592,4.0429184,5,3.4,5.48,9.896,10.7792,10.15584,9.231168,6.6462336,5,2.6,2.12,2.824,1.3648,1.07296,4.214592,4.0429184,2,1.2,2.64,1.328,8.2656,4.85312,3.370624,7.0741248,4,7.2,8.64,4.928,4.1856,0.83712,5.767424,1.9534848,9,10.6,9.32,4.264,3.2528,3.05056,7.810112,5.5620224,6,4.4,7.28,7.856,8.7712,6.55424,5.310848,5.0621696,11
"8",3,2.2,3.64,2.328,0.4656,1.69312,2.738624,2.1477248,2,2,1.2,1.04,0.208,1.6416,5.12832,1.025664,3,2.2,3.64,2.328,0.4656,1.69312,2.738624,2.1477248,2,2,1.2,1.04,0.208,1.6416,5.12832,1.025664,16,16.8,16.16,13.632,10.7264,11.74528,11.949056,14.3898112,9,9.8,6.76,6.952,6.9904,8.59808,14.519616,14.1039232,16,16.8,16.16,13.632,10.7264,11.74528,11.949056,14.3898112,9,9.8,6.76,6.952,6.9904,8.59808,14.519616,14.1039232,5,5.8,8.36,4.872,3.3744,3.87488,5.574976,4.3149952,5,3.4,1.48,2.696,2.1392,2.82784,8.565568,6.5131136,5,5.8,8.36,4.872,3.3744,3.87488,5.574976,4.3149952,5,3.4,1.48,2.696,2.1392,2.82784,8.565568,6.5131136,7,4.6,6.52,4.504,3.3008,4.66016,4.132032,1.6264064,5,3.4,3.08,6.216,2.8432,5.36864,7.473728,7.8947456,7,4.6,4.92,8.184,6.4368,2.88736,4.577472,4.9154944,4,9.6,7.52,2.304,4.4608,6.49216,5.298432,4.2596864,12
"9",2,1.2,1.04,1.008,5.8016,1.96032,1.192064,0.2384128,2,2,3.6,2.32,0.464,1.6928,2.73856,2.147712,2,1.2,1.04,1.008,5.8016,1.96032,1.192064,0.2384128,2,2,3.6,2.32,0.464,1.6928,2.73856,2.147712,10,12.4,7.28,8.656,20.9312,18.58624,12.517248,13.7034496,16,12.8,15.36,11.872,7.9744,16.79488,16.158976,16.8317952,10,12.4,7.28,8.656,20.9312,18.58624,12.517248,13.7034496,16,12.8,15.36,11.872,7.9744,16.79488,16.158976,16.8317952,6,5.2,1.84,1.968,9.9936,8.39872,5.679744,5.1359488,5,3.4,7.88,3.976,2.3952,4.47904,8.095808,6.4191616,6,5.2,1.84,1.968,9.9936,8.39872,5.679744,5.1359488,5,3.4,7.88,3.976,2.3952,4.47904,8.095808,6.4191616,3,5.4,3.48,4.696,7.3392,7.06784,7.013568,4.6027136,7,3.8,6.36,1.272,3.4544,5.49088,3.498176,4.6996352,6,3.6,7.92,7.184,6.2368,9.24736,5.849472,5.9698944,6,3.6,3.12,2.224,4.4448,5.68896,8.337792,4.0675584,9
"10",0,2.4,0.48,0.896,1.7792,0.35584,0.071168,0.0142336,0,0,1.6,1.92,1.184,0.2368,0.04736,1.609472,0,2.4,0.48,0.896,1.7792,0.35584,0.071168,0.0142336,0,0,1.6,1.92,1.184,0.2368,0.04736,1.609472,11,14.2,10.04,13.208,12.2416,19.24832,15.049664,19.0099328,16,8.8,12.16,8.032,10.4064,8.48128,12.096256,11.2192512,11,14.2,10.04,13.208,12.2416,19.24832,15.049664,19.0099328,16,8.8,12.16,8.032,10.4064,8.48128,12.096256,11.2192512,1,6.6,2.92,3.784,5.5568,4.31136,6.462272,3.6924544,3,1.4,2.68,3.736,3.1472,2.22944,2.845888,2.1691776,1,6.6,2.92,3.784,5.5568,4.31136,6.462272,3.6924544,3,1.4,2.68,3.736,3.1472,2.22944,2.845888,2.1691776,2,4.4,7.28,7.056,7.8112,9.56224,10.712448,7.7424896,5,3.4,1.48,4.296,3.2592,1.45184,3.490368,6.2980736,6,1.2,4.24,3.248,6.2496,4.44992,5.689984,2.7379968,7,10.2,5.24,5.048,2.6096,3.72192,6.344384,4.4688768,5
"11",1,1,1.8,1.16,0.232,0.0464,0.80928,1.761856,2,2,2.8,1.36,1.872,0.3744,0.07488,3.214976,1,1,1.8,1.16,0.232,0.0464,0.80928,1.761856,2,2,2.8,1.36,1.872,0.3744,0.07488,3.214976,9,14.6,12.52,12.904,8.9808,8.19616,13.639232,11.5278464,8,17.6,13.92,13.184,18.6368,20.52736,12.905472,16.1810944,9,14.6,12.52,12.904,8.9808,8.19616,13.639232,11.5278464,8,17.6,13.92,13.184,18.6368,20.52736,12.905472,16.1810944,2,4.4,4.88,5.776,2.7552,2.15104,5.230208,5.0460416,4,4.8,4.16,4.032,6.4064,4.48128,1.696256,7.5392512,2,4.4,4.88,5.776,2.7552,2.15104,5.230208,5.0460416,4,4.8,4.16,4.032,6.4064,4.48128,1.696256,7.5392512,11,5.4,4.28,7.256,2.2512,1.25024,5.050048,6.6100096,3,2.2,4.44,8.088,8.8176,9.76352,9.952704,6.7905408,5,4.2,7.24,7.048,13.4096,6.68192,4.536384,5.7072768,2,6,6.8,3.76,1.552,5.1104,2.62208,3.724416,9
"12",1,0.2,0.84,0.168,0.0336,1.60672,1.121344,1.8242688,2,2.8,2.16,1.232,4.2464,2.44928,2.089856,0.4179712,1,0.2,0.84,0.168,0.0336,1.60672,1.121344,1.8242688,2,2.8,2.16,1.232,4.2464,2.44928,2.089856,0.4179712,17,11.4,8.68,16.936,10.5872,14.91744,10.983488,10.9966976,13,9.8,11.56,6.312,18.0624,8.41248,14.482496,18.8964992,17,11.4,8.68,16.936,10.5872,14.91744,10.983488,10.9966976,13,9.8,11.56,6.312,18.0624,8.41248,14.482496,18.8964992,2,2.8,2.16,4.432,3.2864,4.65728,4.131456,2.4262912,5,5.8,5.16,2.632,9.3264,5.06528,5.013056,3.4026112,2,2.8,2.16,4.432,3.2864,4.65728,4.131456,2.4262912,5,5.8,5.16,2.632,9.3264,5.06528,5.013056,3.4026112,7,4.6,6.52,6.904,4.5808,8.11616,7.223232,7.0446464,6,2.8,6.96,4.592,1.7184,2.74368,2.148736,6.0297472,3,5.4,5.08,2.616,2.1232,3.62464,7.924928,7.9849856,3,7.8,3.96,9.592,7.5184,7.90368,6.380736,4.4761472,13
"13",0,1.6,1.12,1.824,1.9648,1.19296,0.238592,0.8477184,0,1.6,1.92,1.984,1.1968,2.63936,2.127872,2.0255744,0,1.6,1.12,1.824,1.9648,1.19296,0.238592,0.8477184,0,1.6,1.92,1.984,1.1968,2.63936,2.127872,2.0255744,5,13.8,7.56,19.112,9.4224,8.28448,12.856896,14.5713792,17,11.4,10.28,10.856,8.5712,20.11424,22.422848,13.2845696,5,13.8,7.56,19.112,9.4224,8.28448,12.856896,14.5713792,17,11.4,10.28,10.856,8.5712,20.11424,22.422848,13.2845696,2,4.4,2.48,6.896,6.1792,2.03584,4.407168,4.8814336,1,5,4.2,5.64,1.928,9.1856,8.23712,4.847424,2,4.4,2.48,6.896,6.1792,2.03584,4.407168,4.8814336,1,5,4.2,5.64,1.928,9.1856,8.23712,4.847424,5,6.6,5.32,9.864,3.5728,3.91456,5.582912,13.1165824,8,4,4.8,2.56,6.112,9.2224,4.24448,1.648896,9,7.4,4.68,6.536,4.5072,3.30144,4.660288,4.1320576,3,4.6,3.32,3.064,6.2128,2.84256,5.368512,7.4737024,10
"14",0,2.4,1.28,1.056,1.8112,1.16224,0.232448,0.0464896,2,2,0.4,2.48,1.296,1.0592,1.01184,1.002368,0,2.4,1.28,1.056,1.8112,1.16224,0.232448,0.0464896,2,2,0.4,2.48,1.296,1.0592,1.01184,1.002368,17,14.6,10.92,10.984,10.9968,7.79936,10.359872,11.6719744,15,14.2,8.44,10.488,14.8976,10.97952,14.195904,9.2391808,17,14.6,10.92,10.984,10.9968,7.79936,10.359872,11.6719744,15,14.2,8.44,10.488,14.8976,10.97952,14.195904,9.2391808,5,6.6,4.52,2.504,4.5008,3.30016,1.460032,3.4920064,7,6.2,2.84,5.368,5.0736,2.61472,5.322944,3.4645888,5,6.6,4.52,2.504,4.5008,3.30016,1.460032,3.4920064,7,6.2,2.84,5.368,5.0736,2.61472,5.322944,3.4645888,4,5.6,3.52,7.904,7.1808,6.23616,9.247232,5.8494464,5,5.8,3.56,3.112,2.2224,4.44448,5.688896,8.3377792,8,3.2,3.04,6.208,6.8416,4.56832,5.713664,4.3427328,5,4.2,5.64,5.128,4.2256,4.04512,8.009024,6.4018048,10
"15",4,2.4,2.08,2.816,1.3632,0.27264,0.054528,3.2109056,1,1,1.8,1.96,3.592,2.3184,0.46368,1.692736,4,2.4,2.08,2.816,1.3632,0.27264,0.054528,3.2109056,1,1,1.8,1.96,3.592,2.3184,0.46368,1.692736,14,19.6,11.92,14.384,12.4768,12.09536,12.819072,16.1638144,17,13.8,16.36,13.672,13.9344,11.58688,13.517376,11.5034752,14,19.6,11.92,14.384,12.4768,12.09536,12.819072,16.1638144,17,13.8,16.36,13.672,13.9344,11.58688,13.517376,11.5034752,7,6.2,3.64,6.328,2.8656,3.77312,3.154624,7.8309248,9,4.2,5.64,5.128,7.4256,7.08512,7.017024,5.4034048,7,6.2,3.64,6.328,2.8656,3.77312,3.154624,7.8309248,9,4.2,5.64,5.128,7.4256,7.08512,7.017024,5.4034048,3,9.4,4.28,3.256,2.2512,4.45024,4.090048,5.6180096,3,0.6,3.32,6.264,5.2528,5.85056,9.970112,7.5940224,4,5.6,5.12,5.024,1.0048,1.80096,1.960192,3.5920384,4,5.6,5.12,6.624,5.3248,3.46496,3.892992,2.3785984,6
"16",1,1.8,1.16,1.832,2.7664,2.15328,0.430656,2.4861312,2,2.8,1.36,1.072,1.0144,0.20288,1.640576,3.5281152,1,1.8,1.16,1.832,2.7664,2.15328,0.430656,2.4861312,2,2.8,1.36,1.072,1.0144,0.20288,1.640576,3.5281152,8,8.8,10.56,12.512,8.9024,11.38048,7.076096,7.8152192,17,16.2,24.04,16.808,18.5616,10.91232,18.182464,14.0364928,8,8.8,10.56,12.512,8.9024,11.38048,7.076096,7.8152192,17,16.2,24.04,16.808,18.5616,10.91232,18.182464,14.0364928,2,4.4,2.48,4.496,4.0992,5.61984,1.923968,3.5847936,4,4.8,7.36,5.472,6.6944,2.13888,8.427776,4.8855552,2,4.4,2.48,4.496,4.0992,5.61984,1.923968,3.5847936,4,4.8,7.36,5.472,6.6944,2.13888,8.427776,4.8855552,4,4.8,3.36,4.672,1.7344,2.74688,0.549376,4.1098752,4,6.4,5.28,3.456,12.6912,6.53824,4.507648,4.9015296,5,3.4,5.48,3.496,4.6992,7.33984,7.067968,7.0135936,4,6.4,3.68,6.336,1.2672,3.45344,5.490688,3.4981376,11
"17",1,2.6,2.12,1.224,1.0448,1.80896,1.961792,1.1923584,1,1.8,3.56,1.512,1.9024,1.98048,0.396096,0.0792192,1,2.6,2.12,1.224,1.0448,1.80896,1.961792,1.1923584,1,1.8,3.56,1.512,1.9024,1.98048,0.396096,0.0792192,9,23.4,18.28,14.056,11.6112,7.12224,19.824448,10.3648896,17,13,12.2,12.84,12.168,15.2336,14.24672,12.449344,9,23.4,18.28,14.056,11.6112,7.12224,19.824448,10.3648896,17,13,12.2,12.84,12.168,15.2336,14.24672,12.449344,5,5.8,5.96,4.392,3.2784,3.85568,7.171136,3.8342272,4,5.6,5.12,5.824,5.9648,5.19296,5.038592,4.2077184,5,5.8,5.96,4.392,3.2784,3.85568,7.171136,3.8342272,4,5.6,5.12,5.824,5.9648,5.19296,5.038592,4.2077184,3,7.8,10.36,9.272,4.2544,3.25088,3.050176,7.8100352,8,6.4,4.48,7.296,7.8592,8.77184,6.554368,5.3108736,3,3,3,3.8,4.76,4.952,5.7904,1.95808,11,6.2,3.64,6.328,2.8656,2.97312,4.594624,12.9189248,6
"18",1,0.2,3.24,2.248,2.0496,2.00992,2.001984,3.6003968,0,0.8,1.76,1.152,0.2304,0.04608,0.809216,2.5618432,1,0.2,3.24,2.248,2.0496,2.00992,2.001984,3.6003968,0,0.8,1.76,1.152,0.2304,0.04608,0.809216,2.5618432,10,12.4,12.08,8.016,17.6032,12.32064,15.264128,13.4528256,16,12.8,16.16,14.432,9.2864,11.45728,10.291456,8.4582912,10,12.4,12.08,8.016,17.6032,12.32064,15.264128,13.4528256,16,12.8,16.16,14.432,9.2864,11.45728,10.291456,8.4582912,4,4.8,4.96,4.192,6.4384,6.88768,5.377536,4.2755072,2,3.6,5.52,4.304,2.4608,3.69216,3.938432,3.9876864,4,4.8,4.96,4.192,6.4384,6.88768,5.377536,4.2755072,2,3.6,5.52,4.304,2.4608,3.69216,3.938432,3.9876864,3,6.2,4.44,4.888,8.1776,6.43552,2.887104,4.5774208,9,5,9.8,7.56,2.312,4.4624,6.49248,5.298496,8,3.2,1.44,2.688,1.3376,8.26752,4.853504,3.3707008,3,3.8,7.16,8.632,4.9264,4.18528,0.837056,5.7674112,13
"19",0,0,1.6,1.12,1.824,1.9648,1.19296,0.238592,1,0.2,1.64,1.928,1.9856,1.19712,2.639424,2.1278848,0,0,1.6,1.12,1.824,1.9648,1.19296,0.238592,1,0.2,1.64,1.928,1.9856,1.19712,2.639424,2.1278848,7,5.4,13.88,7.576,19.1152,9.42304,8.284608,12.8569216,11,15.8,11.16,10.232,10.8464,8.56928,20.113856,22.4227712,7,5.4,13.88,7.576,19.1152,9.42304,8.284608,12.8569216,11,15.8,11.16,10.232,10.8464,8.56928,20.113856,22.4227712,4,2.4,4.48,2.496,6.8992,6.17984,2.035968,4.4071936,3,1.4,5.08,4.216,5.6432,1.92864,9.185728,8.2371456,4,2.4,4.48,2.496,6.8992,6.17984,2.035968,4.4071936,3,1.4,5.08,4.216,5.6432,1.92864,9.185728,8.2371456,5,5,6.6,5.32,9.864,3.5728,3.91456,5.582912,5,7.4,3.88,4.776,2.5552,6.11104,9.222208,4.2444416,6,4.4,5.68,3.536,7.9072,7.18144,6.236288,9.2472576,4,4.8,5.76,3.552,3.1104,2.22208,4.444416,5.6888832,8
"20",3,0.6,2.52,2.104,2.0208,1.20416,0.240832,3.2481664,1,0.2,0.04,0.808,0.1616,1.63232,1.126464,0.2252928,3,0.6,2.52,2.104,2.0208,1.20416,0.240832,3.2481664,1,0.2,0.04,0.808,0.1616,1.63232,1.126464,0.2252928,8,15.2,10.24,11.648,11.9296,7.98592,9.597184,10.7194368,14,6.8,9.36,12.272,14.4544,13.29088,16.258176,16.0516352,8,15.2,10.24,11.648,11.9296,7.98592,9.597184,10.7194368,14,6.8,9.36,12.272,14.4544,13.29088,16.258176,16.0516352,4,1.6,5.12,3.424,3.8848,3.17696,3.035392,5.4070784,3,2.2,2.84,4.568,1.7136,3.54272,4.708544,4.9417088,4,1.6,5.12,3.424,3.8848,3.17696,3.035392,5.4070784,3,2.2,2.84,4.568,1.7136,3.54272,4.708544,4.9417088,4,7.2,3.04,3.008,6.2016,6.84032,4.568064,5.7136128,6,5.2,4.24,5.648,5.1296,4.22592,4.045184,8.0090368,7,4.6,4.92,3.384,4.6768,1.73536,2.747072,0.5494144,4,4,6.4,5.28,3.456,12.6912,6.53824,4.507648,7
"21",2,2,1.2,2.64,1.328,1.0656,1.01312,1.802624,4,1.6,1.92,1.984,1.9968,1.99936,0.399872,0.8799744,2,2,1.2,2.64,1.328,1.0656,1.01312,1.802624,4,1.6,1.92,1.984,1.9968,1.99936,0.399872,0.8799744,6,11.6,12.72,12.944,14.5888,9.31776,15.463552,18.2927104,16,16.8,20.16,13.632,13.1264,8.22528,9.645056,16.3290112,6,11.6,12.72,12.944,14.5888,9.31776,15.463552,18.2927104,16,16.8,20.16,13.632,13.1264,8.22528,9.645056,16.3290112,2,4.4,3.28,3.856,4.7712,1.75424,4.350848,4.8701696,5,2.6,5.32,5.064,5.0128,5.80256,3.560512,7.1121024,2,4.4,3.28,3.856,4.7712,1.75424,4.350848,4.8701696,5,2.6,5.32,5.064,5.0128,5.80256,3.560512,7.1121024,1,5,1,4.2,3.24,6.248,4.4496,5.68992,4,6.4,10.08,5.216,5.0432,2.60864,3.721728,6.3443456,5,3.4,6.28,4.456,4.8912,8.17824,6.435648,2.8871296,8,8.8,4.96,9.792,7.5584,2.31168,4.462336,6.4924672,12
"22",2,0.4,0.88,1.776,1.9552,1.19104,1.038208,1.0076416,3,0.6,0.12,0.824,2.5648,2.91296,1.382592,1.0765184,2,0.4,0.88,1.776,1.9552,1.19104,1.038208,1.0076416,3,0.6,0.12,0.824,2.5648,2.91296,1.382592,1.0765184,11,15,12.6,12.12,12.824,17.7648,11.55296,7.910592,8,10.4,12.48,8.896,13.7792,9.15584,7.431168,9.4862336,11,15,12.6,12.12,12.824,17.7648,11.55296,7.910592,8,10.4,12.48,8.896,13.7792,9.15584,7.431168,9.4862336,4,3.2,3.84,4.768,4.9536,6.59072,2.918144,2.1836288,3,1.4,4.28,2.456,6.0912,4.41824,3.283648,3.0567296,4,3.2,3.84,4.768,4.9536,6.59072,2.918144,2.1836288,3,1.4,4.28,2.456,6.0912,4.41824,3.283648,3.0567296,3,4.6,4.12,7.224,7.0448,13.40896,6.681792,4.5363584,6,2.8,6.16,6.832,3.7664,1.55328,5.110656,2.6221312,4,3.2,7.84,10.368,9.2736,4.25472,3.250944,3.0501888,2,6.8,6.16,4.432,7.2864,7.85728,8.771456,6.5542912,14
"23",0,0.8,1.76,1.152,1.8304,1.16608,0.233216,0.0466432,3,3.8,3.16,1.432,1.8864,1.97728,5.995456,4.3990912,0,0.8,1.76,1.152,1.8304,1.16608,0.233216,0.0466432,3,3.8,3.16,1.432,1.8864,1.97728,5.995456,4.3990912,13,16.2,12.84,23.368,13.4736,15.49472,8.698944,14.5397888,14,14,24.4,13.68,20.336,12.8672,21.77344,13.154688,13,16.2,12.84,23.368,13.4736,15.49472,8.698944,14.5397888,14,14,24.4,13.68,20.336,12.8672,21.77344,13.154688,3,7.8,6.36,7.672,6.3344,5.26688,2.653376,4.5306752,5,6.6,6.12,2.824,6.9648,5.39296,10.678592,6.9357184,3,7.8,6.36,7.672,6.3344,5.26688,2.653376,4.5306752,5,6.6,6.12,2.824,6.9648,5.39296,10.678592,6.9357184,4,3.2,5.44,5.088,2.6176,2.12352,3.624704,7.9249408,9,4.2,8.04,4.008,9.6016,7.52032,7.904064,6.3808128,4,2.4,4.48,7.296,7.0592,7.81184,9.562368,10.7124736,1,4.2,3.24,1.448,4.2896,3.25792,1.451584,3.4903168,11
