"","FTHGf1","FTHGf2","FTHGf3","FTHGf4","FTHGf5","FTHGf6","FTHGf7","FTHGf8","FTHGa1","FTHGa2","FTHGa3","FTHGa4","FTHGa5","FTHGa6","FTHGa7","FTHGa8","FTAGf1","FTAGf2","FTAGf3","FTAGf4","FTAGf5","FTAGf6","FTAGf7","FTAGf8","FTAGa1","FTAGa2","FTAGa3","FTAGa4","FTAGa5","FTAGa6","FTAGa7","FTAGa8","HSf1","HSf2","HSf3","HSf4","HSf5","HSf6","HSf7","HSf8","HSa1","HSa2","HSa3","HSa4","HSa5","HSa6","HSa7","HSa8","ASf1","ASf2","ASf3","ASf4","ASf5","ASf6","ASf7","ASf8","ASa1","ASa2","ASa3","ASa4","ASa5","ASa6","ASa7","ASa8","HSTf1","HSTf2","HSTf3","HSTf4","HSTf5","HSTf6","HSTf7","HSTf8","HSTa1","HSTa2","HSTa3","HSTa4","HSTa5","HSTa6","HSTa7","HSTa8","ASTf1","ASTf2","ASTf3","ASTf4","ASTf5","ASTf6","ASTf7","ASTf8","ASTa1","ASTa2","ASTa3","ASTa4","ASTa5","ASTa6","ASTa7","ASTa8","HCf1","HCf2","HCf3","HCf4","HCf5","HCf6","HCf7","HCf8","HCa1","HCa2","HCa3","HCa4","HCa5","HCa6","HCa7","HCa8","ACf1","ACf2","ACf3","ACf4","ACf5","ACf6","ACf7","ACf8","ACa1","ACa2","ACa3","ACa4","ACa5","ACa6","ACa7","ACa8","Y"
"504",2,3.6,2.32,0.464,0.0928,0.81856,0.963712,0.9927424,0,0.8,1.76,1.152,1.0304,2.60608,2.121216,0.4242432,2,3.6,2.32,0.464,0.0928,0.81856,0.963712,0.9927424,0,0.8,1.76,1.152,1.0304,2.60608,2.121216,0.4242432,11,11.8,13.56,7.512,15.1024,7.02048,13.404096,15.4808192,15,7.8,11.16,11.832,8.7664,9.75328,12.350656,8.8701312,11,11.8,13.56,7.512,15.1024,7.02048,13.404096,15.4808192,15,7.8,11.16,11.832,8.7664,9.75328,12.350656,8.8701312,3,3.8,4.76,3.352,3.0704,1.41408,1.882816,3.5765632,4,1.6,2.72,3.744,2.3488,3.66976,3.133952,3.8267904,3,3.8,4.76,3.352,3.0704,1.41408,1.882816,3.5765632,4,1.6,2.72,3.744,2.3488,3.66976,3.133952,3.8267904,1,5,6.6,6.12,12.424,4.0848,4.81696,4.963392,6,2,4.4,5.68,4.336,4.8672,4.17344,0.834688,8,8.8,5.76,5.152,3.4304,3.88608,6.377216,2.0754432,3,3,3.8,8.76,9.752,5.9504,4.39008,4.078016,5
"505",1,1.8,1.16,0.232,0.8464,0.16928,2.433856,0.4867712,4,2.4,1.28,2.656,1.3312,1.06624,0.213248,0.8426496,1,1.8,1.16,0.232,0.8464,0.16928,2.433856,0.4867712,4,2.4,1.28,2.656,1.3312,1.06624,0.213248,0.8426496,9,13,8.2,16.84,16.968,6.5936,9.31872,15.463744,18,22,14.8,10.16,14.032,17.2064,14.64128,6.928256,9,13,8.2,16.84,16.968,6.5936,9.31872,15.463744,18,22,14.8,10.16,14.032,17.2064,14.64128,6.928256,3,5.4,1.88,5.976,5.1952,2.63904,6.127808,3.6255616,8,7.2,4.64,4.928,5.7856,5.15712,4.231424,2.4462848,3,5.4,1.88,5.976,5.1952,2.63904,6.127808,3.6255616,8,7.2,4.64,4.928,5.7856,5.15712,4.231424,2.4462848,3,3,7.8,7.16,4.632,4.1264,2.42528,6.085056,6,5.2,6.64,1.328,5.0656,8.21312,4.042624,0.8085248,13,5.8,3.56,5.512,5.9024,4.38048,11.276096,8.6552192,4,3.2,4.64,5.728,1.9456,1.98912,3.597824,3.1195648,6
"506",2,1.2,1.04,1.808,1.1616,1.83232,0.366464,1.6732928,1,2.6,2.12,1.224,1.0448,1.00896,0.201792,1.6403584,2,1.2,1.04,1.808,1.1616,1.83232,0.366464,1.6732928,1,2.6,2.12,1.224,1.0448,1.00896,0.201792,1.6403584,9,17.8,9.16,13.032,14.6064,10.92128,5.384256,13.0768512,23,15.8,17.56,6.712,14.9424,10.98848,13.397696,12.2795392,9,17.8,9.16,13.032,14.6064,10.92128,5.384256,13.0768512,23,15.8,17.56,6.712,14.9424,10.98848,13.397696,12.2795392,4,2.4,2.88,6.976,6.1952,5.23904,2.647808,6.1295616,10,9.2,5.84,3.568,4.7136,3.34272,3.068544,3.0137088,4,2.4,2.88,6.976,6.1952,5.23904,2.647808,6.1295616,10,9.2,5.84,3.568,4.7136,3.34272,3.068544,3.0137088,2,7.6,5.52,9.904,6.7808,6.15616,2.831232,3.7662464,5,2.6,2.92,1.384,3.4768,2.29536,4.459072,1.6918144,13,3.4,3.88,3.976,5.5952,5.11904,4.223808,4.0447616,5,5.8,1.96,4.392,3.2784,3.05568,6.211136,6.0422272,6
"507",0,1.6,0.32,1.664,1.1328,3.42656,0.685312,1.7370624,1,0.2,2.44,1.288,1.8576,1.17152,2.634304,2.1268608,0,1.6,0.32,1.664,1.1328,3.42656,0.685312,1.7370624,1,0.2,2.44,1.288,1.8576,1.17152,2.634304,2.1268608,7,7,4.6,10.52,8.504,16.1008,14.42016,12.484032,15,13.4,15.48,14.296,12.4592,13.69184,10.738368,14.1476736,7,7,4.6,10.52,8.504,16.1008,14.42016,12.484032,15,13.4,15.48,14.296,12.4592,13.69184,10.738368,14.1476736,1,2.6,0.52,2.504,2.1008,8.42016,4.884032,3.3768064,8,5.6,9.12,6.624,6.1248,6.82496,6.964992,6.9929984,1,2.6,0.52,2.504,2.1008,8.42016,4.884032,3.3768064,8,5.6,9.12,6.624,6.1248,6.82496,6.964992,6.9929984,3,4.6,1.72,4.344,1.6688,6.73376,3.746752,1.5493504,8,6.4,4.48,5.696,5.9392,6.78784,2.957568,3.7915136,4,1.6,4.32,1.664,3.5328,4.70656,4.141312,5.6282624,4,5.6,6.72,3.744,2.3488,3.66976,3.133952,3.8267904,9
"508",2,0.4,0.08,1.616,1.1232,1.82464,5.164928,6.6329856,1,0.2,0.84,0.968,0.1936,0.83872,0.167744,0.8335488,2,0.4,0.08,1.616,1.1232,1.82464,5.164928,6.6329856,1,0.2,0.84,0.968,0.1936,0.83872,0.167744,0.8335488,15,14.2,8.44,16.088,12.8176,12.16352,14.432704,18.0865408,16,7.2,11.84,7.968,6.3936,7.67872,7.135744,4.6271488,15,14.2,8.44,16.088,12.8176,12.16352,14.432704,18.0865408,16,7.2,11.84,7.968,6.3936,7.67872,7.135744,4.6271488,6,2.8,3.76,4.752,4.1504,5.63008,6.726016,9.3452032,4,0.8,4.96,3.392,3.0784,2.21568,2.043136,0.4086272,6,2.8,3.76,4.752,4.1504,5.63008,6.726016,9.3452032,4,0.8,4.96,3.392,3.0784,2.21568,2.043136,0.4086272,2,10.8,5.36,3.472,5.4944,5.89888,4.379776,11.2759552,4,4,3.2,4.64,5.728,1.9456,1.98912,3.597824,4,5.6,2.72,10.944,6.1888,4.43776,5.687552,7.5375104,9,4.2,8.04,3.208,9.4416,13.08832,5.017664,3.4035328,12
"509",0,0,1.6,1.92,1.984,1.9968,2.79936,0.559872,0,0,0.8,1.76,0.352,0.0704,0.81408,0.162816,0,0,1.6,1.92,1.984,1.9968,2.79936,0.559872,0,0,0.8,1.76,0.352,0.0704,0.81408,0.162816,11,10.2,10.04,11.608,8.7216,9.74432,11.548864,7.1097728,17,9,11.4,13.48,11.496,5.4992,13.09984,13.019968,11,10.2,10.04,11.608,8.7216,9.74432,11.548864,7.1097728,17,9,11.4,13.48,11.496,5.4992,13.09984,13.019968,3,2.2,4.44,3.288,3.8576,3.17152,4.634304,3.3268608,5,1,3.4,4.68,4.136,4.0272,5.60544,3.521088,3,2.2,4.44,3.288,3.8576,3.17152,4.634304,3.3268608,5,1,3.4,4.68,4.136,4.0272,5.60544,3.521088,4,4,1.6,4.32,1.664,3.5328,4.70656,4.141312,5,4.2,5.64,6.728,3.7456,2.34912,3.669824,3.1339648,9,3.4,2.28,6.056,2.0112,2.00224,6.000448,5.2000896,4,7.2,3.84,7.968,10.3936,4.47872,7.295744,5.4591488,12
"510",1,1,0.2,0.84,0.968,0.9936,0.99872,0.999744,1,0.2,3.24,1.448,0.2896,1.65792,2.731584,2.9463168,1,1,0.2,0.84,0.968,0.9936,0.99872,0.999744,1,0.2,3.24,1.448,0.2896,1.65792,2.731584,2.9463168,7,13.4,11.48,16.696,12.9392,7.38784,13.477568,18.6955136,13,8.2,10.44,14.088,17.2176,15.44352,12.688704,11.3377408,7,13.4,11.48,16.696,12.9392,7.38784,13.477568,18.6955136,13,8.2,10.44,14.088,17.2176,15.44352,12.688704,11.3377408,4,7.2,6.24,4.448,4.8896,1.77792,5.155584,5.0311168,6,2,5.2,8.24,6.448,4.4896,4.89792,6.579584,4,7.2,6.24,4.448,4.8896,1.77792,5.155584,5.0311168,6,2,5.2,8.24,6.448,4.4896,4.89792,6.579584,3,7,8.6,5.72,5.144,3.4288,3.88576,6.377152,2,2.8,2.96,3.792,8.7584,9.75168,5.950336,4.3900672,3,3.8,3.16,2.232,0.4464,9.68928,3.537856,3.9075712,6,11.6,3.92,11.184,7.8368,7.96736,6.393472,5.2786944,10
"511",0,0,3.2,2.24,1.248,1.8496,1.16992,1.033984,1,0.2,0.04,0.808,0.9616,0.99232,1.798464,5.9596928,0,0,3.2,2.24,1.248,1.8496,1.16992,1.033984,1,0.2,0.04,0.808,0.9616,0.99232,1.798464,5.9596928,15,8.6,10.52,12.504,14.5008,13.30016,17.060032,6.6120064,10,10,10.8,13.36,17.872,13.1744,12.23488,17.646976,15,8.6,10.52,12.504,14.5008,13.30016,17.060032,6.6120064,10,10,10.8,13.36,17.872,13.1744,12.23488,17.646976,3,0.6,4.92,4.984,4.9968,3.39936,4.679872,0.9359744,4,2.4,5.28,5.056,6.6112,3.72224,7.144448,9.4288896,3,0.6,4.92,4.984,4.9968,3.39936,4.679872,0.9359744,4,2.4,5.28,5.056,6.6112,3.72224,7.144448,9.4288896,6,4.4,3.28,1.456,4.2912,3.25824,3.051648,3.8103296,0,3.2,7.84,3.968,3.9936,3.19872,5.439744,11.4879488,2,1.2,5.04,6.608,6.1216,12.42432,4.084864,4.8169728,3,5.4,1.88,4.376,5.6752,4.33504,4.867008,4.1734016,17
"512",2,0.4,0.88,0.976,0.1952,0.03904,0.807808,0.1615616,1,1.8,2.76,2.152,1.2304,1.84608,3.569216,0.7138432,2,0.4,0.88,0.976,0.1952,0.03904,0.807808,0.1615616,1,1.8,2.76,2.152,1.2304,1.84608,3.569216,0.7138432,15,15,15.8,14.36,17.272,6.6544,9.33088,7.466176,11,11,14.2,13.24,12.248,10.4496,17.28992,21.057984,15,15,15.8,14.36,17.272,6.6544,9.33088,7.466176,11,11,14.2,13.24,12.248,10.4496,17.28992,21.057984,8,4.8,4.16,4.832,5.7664,4.35328,3.270656,1.4541312,4,3.2,7.04,5.408,5.0816,3.41632,4.683264,8.1366528,8,4.8,4.16,4.832,5.7664,4.35328,3.270656,1.4541312,4,3.2,7.04,5.408,5.0816,3.41632,4.683264,8.1366528,5,5.8,4.36,3.272,8.6544,3.33088,3.066176,3.0132352,9,2.6,2.12,1.224,4.2448,4.04896,4.809792,7.3619584,6,5.2,3.44,5.488,9.8976,4.37952,8.075904,5.6151808,2,10.8,5.36,5.072,5.0144,2.60288,3.720576,2.3441152,3
"513",1,2.6,2.92,1.384,0.2768,0.05536,0.811072,1.7622144,0,2.4,1.28,1.056,1.8112,1.96224,1.992448,2.7984896,1,2.6,2.92,1.384,0.2768,0.05536,0.811072,1.7622144,0,2.4,1.28,1.056,1.8112,1.96224,1.992448,2.7984896,10,15.6,15.12,15.024,11.8048,8.76096,19.352192,9.4704384,15,16.6,16.12,17.624,9.9248,15.58496,11.916992,11.1833984,10,15.6,15.12,15.024,11.8048,8.76096,19.352192,9.4704384,15,16.6,16.12,17.624,9.9248,15.58496,11.916992,11.1833984,4,6.4,7.68,8.736,4.9472,2.58944,4.517888,4.1035776,3,7,4.6,4.12,4.024,5.6048,6.72096,6.144192,4,6.4,7.68,8.736,4.9472,2.58944,4.517888,4.1035776,3,7,4.6,4.12,4.024,5.6048,6.72096,6.144192,0,4.8,2.56,3.712,3.1424,3.02848,3.805696,3.1611392,6,6,4.4,4.88,1.776,5.1552,1.83104,3.566208,5,3.4,4.68,1.736,4.3472,1.66944,6.733888,3.7467776,4,7.2,6.24,4.448,5.6896,5.93792,6.787584,2.9575168,12
